1, 1.719396
2, 1.565223
3, 1.680955
4, 1.624886
5, 1.511541
6, 1.689726
7, 1.571792
8, 1.692446
9, 1.728486
10, 1.559943
11, 1.807452
12, 1.566370
13, 1.535608
14, 1.529563
15, 1.534631
16, 1.551295
17, 1.535201
18, 1.541619
19, 1.549519
20, 1.563422
21, 1.769245
22, 1.530902
23, 1.641385
24, 1.834342
25, 1.754680
26, 1.755381
27, 1.756803
28, 1.555726
29, 1.733189
30, 1.692764
31, 1.547414
32, 1.476871
33, 1.524261
34, 1.699249
35, 1.563177
36, 1.553824
37, 1.637056
38, 1.581511
39, 1.575566
40, 1.773695
41, 1.615775
42, 1.731544
43, 1.578126
44, 1.577082
45, 1.722967
46, 1.724800
47, 1.595088
48, 1.599142
49, 1.715225
50, 1.814714
51, 1.722396
52, 1.759891
53, 1.707554
54, 1.815378
55, 1.666246
56, 1.735367
57, 1.474046
58, 1.643767
59, 1.572963
60, 1.495490
61, 1.480092
62, 1.460695
63, 1.459812
64, 1.532477
65, 1.500672
66, 1.490407
67, 1.420975
68, 1.478819
69, 1.419854
70, 1.491783
71, 1.514077
72, 1.488858
73, 1.478734
74, 1.496263
75, 1.488961
76, 1.516450
77, 1.487418
78, 1.515409
79, 1.468234
80, 1.501399
81, 1.510212
82, 1.503960
83, 1.496127
84, 1.483373
85, 1.520657
86, 1.514980
87, 1.489512
88, 1.484538
89, 1.444821
90, 1.456103
91, 1.516372
92, 1.496262
93, 1.475834
94, 1.519018
95, 1.486923
96, 1.548816
97, 1.472419
98, 1.504928
99, 1.455556
100, 1.629928
